LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,default,AVG_BILL_AMT,AVG_PAY_AMT,MAX_BILL_AMT,MAX_PAY_AMT,CREDIT_UTILIZATION,TOTAL_PAYMENT,TOTAL_BILL,PAYMENT_TO_BILL_RATIO,AVG_PAYMENT_STATUS,NUM_DELAYED_PAYMENTS,AGE_GROUP
20000,2,2,1,24,2,2,-1,-1,-2,-2,3913,3102,689,0,0,0,0,689,0,0,0,0,1,1284.0,114.83333333333333,3913,689,0.0642,689,7704,0.08943406022845275,-0.3333333333333333,2,18-25
120000,2,2,2,26,-1,2,0,0,0,2,2682,1725,2682,3272,3455,3261,0,1000,1000,1000,0,2000,1,2846.1666666666665,833.3333333333334,3455,2000,0.023718055555555555,5000,17077,0.29279147391227967,0.5,2,26-35
90000,2,2,2,34,0,0,0,0,0,0,29239,14027,13559,14331,14948,15549,1518,1500,1000,1000,1000,5000,0,16942.166666666668,1836.3333333333333,29239,5000,0.1882462962962963,11018,101653,0.10838834072776997,0.0,0,26-35
50000,2,2,1,37,0,0,0,0,0,0,46990,48233,49291,28314,28959,29547,2000,2019,1200,1100,1069,1000,0,38555.666666666664,1398.0,49291,2019,0.7711133333333333,8388,231334,0.03625926150068732,0.0,0,36-50
50000,1,2,1,57,-1,0,-1,0,0,0,8617,5670,35835,20940,19146,19131,2000,36681,10000,9000,689,679,0,18223.166666666668,9841.5,35835,36681,0.36446333333333336,59049,109339,0.5400543264525924,-0.3333333333333333,0,51+
50000,1,1,2,37,0,0,0,0,0,0,64400,57069,57608,19394,19619,20024,2500,1815,657,1000,1000,800,0,39685.666666666664,1295.3333333333333,64400,2500,0.7937133333333333,7772,238114,0.032639827981555056,0.0,0,36-50
500000,1,1,2,29,0,0,0,0,0,0,367965,412023,445007,542653,483003,473944,55000,40000,38000,20239,13750,13770,0,454099.1666666667,30126.5,542653,55000,0.9081983333333333,180759,2724595,0.06634343819907179,0.0,0,26-35
100000,2,2,2,23,0,-1,-1,0,0,-1,11876,380,601,221,-159,567,380,601,0,581,1687,1542,0,2247.6666666666665,798.5,11876,1687,0.022476666666666666,4791,13486,0.3552573038706807,-0.5,0,18-25
140000,2,3,1,28,0,0,2,0,0,0,11285,14096,12108,12211,11793,3719,3329,0,432,1000,1000,1000,0,10868.666666666666,1126.8333333333333,14096,3329,0.07763333333333333,6761,65212,0.10367723731828497,0.3333333333333333,1,26-35
20000,1,3,2,35,-2,-2,-2,-2,-1,-1,0,0,0,0,13007,13912,0,0,0,13007,1122,0,0,4486.5,2354.8333333333335,13912,13007,0.224325,14129,26919,0.5248709090233664,-1.6666666666666667,0,26-35
200000,2,3,2,34,0,0,2,0,0,-1,11073,9787,5535,2513,1828,3731,2306,12,50,300,3738,66,0,5744.5,1078.6666666666667,11073,3738,0.0287225,6472,34467,0.187773812632373,0.16666666666666666,1,26-35
260000,2,1,2,51,-1,-1,-1,-1,-1,2,12261,21670,9966,8517,22287,13668,21818,9966,8583,22301,0,3640,0,14728.166666666666,11051.333333333334,22287,22301,0.05664679487179487,66308,88369,0.7503536307981306,-0.5,1,51+
630000,2,2,2,41,-1,0,-1,-1,-1,-1,12137,6500,6500,6500,6500,2870,1000,6500,6500,6500,2870,0,0,6834.5,3895.0,12137,6500,0.0108484126984127,23370,41007,0.5699026995391031,-0.8333333333333334,0,36-50
70000,1,2,2,30,1,2,2,0,0,2,65802,67369,65701,66782,36137,36894,3200,0,3000,3000,1500,0,1,56447.5,1783.3333333333333,67369,3200,0.8063928571428571,10700,338685,0.03159277795001255,1.1666666666666667,4,26-35
250000,1,1,2,29,0,0,0,0,0,0,70887,67060,63561,59696,56875,55512,3000,3000,3000,3000,3000,3000,0,62265.166666666664,3000.0,70887,3000,0.24906066666666665,18000,373591,0.04818103219831313,0.0,0,26-35
50000,2,3,3,23,1,2,0,0,0,0,50614,29173,28116,28771,29531,30211,0,1500,1100,1200,1300,1100,0,32736.0,1033.3333333333333,50614,1500,0.65472,6200,196416,0.03156565656565657,0.5,2,18-25
20000,1,1,2,24,0,0,2,2,2,2,15376,18010,17428,18338,17905,19104,3200,0,1500,0,1650,0,1,17693.5,1058.3333333333333,19104,3200,0.884675,6350,106161,0.059814809581673116,1.3333333333333333,4,18-25
320000,1,1,1,49,0,0,0,-1,-1,-1,253286,246536,194663,70074,5856,195599,10358,10000,75940,20000,195599,50000,0,161002.33333333334,60316.166666666664,253286,195599,0.5031322916666667,361897,966014,0.37462914616144277,-0.5,0,36-50
360000,2,1,1,49,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0.0,-1.5,1,36-50
180000,2,1,2,29,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0.0,-1.5,1,26-35
130000,2,3,2,39,0,0,0,0,0,-1,38358,27688,24489,20616,11802,930,3000,1537,1000,2000,930,33764,0,20647.166666666668,7038.5,38358,33764,0.15882435897435898,42231,123883,0.34089423084684745,-0.16666666666666666,0,36-50
120000,2,2,1,39,-1,-1,-1,-1,-1,-1,316,316,316,0,632,316,316,316,0,632,316,0,1,316.0,263.3333333333333,632,632,0.0026333333333333334,1580,1896,0.8333333333333334,-1.0,0,36-50
70000,2,2,2,26,2,0,0,2,2,2,41087,42445,45020,44006,46905,46012,2007,3582,0,3601,0,1820,1,44245.833333333336,1835.0,46905,3601,0.6320833333333333,11010,265475,0.04147283171673415,1.3333333333333333,4,26-35
450000,2,1,1,40,-2,-2,-2,-2,-2,-2,5512,19420,1473,560,0,0,19428,1473,560,0,0,1128,1,4494.166666666667,3764.8333333333335,19420,19428,0.009987037037037037,22589,26965,0.8377155572037827,-2.0,0,36-50
