Attribute,Metric,Max_Group_Value,Min_Group_Value,Absolute_Disparity
SEX,Predicted_Default_Rate,0.21165129924559933,0.1655115054061547,0.04613979383944464
SEX,TPR,0.48903878583473864,0.4870395634379263,0.001999222396812328
SEX,FPR,0.11991076408254323,0.08350730688935282,0.03640345719319041
SEX,Precision,0.5979899497487438,0.5742574257425742,0.023732524006169542
SEX,Specificity,0.9164926931106472,0.8800892359174568,0.03640345719319038
AGE_GROUP,Predicted_Default_Rate,0.24390243902439024,0.16984732824427481,0.07405511078011542
AGE_GROUP,TPR,0.6,0.4616858237547893,0.1383141762452107
AGE_GROUP,FPR,0.13427561837455831,0.08493975903614458,0.04933585933841374
AGE_GROUP,Precision,0.6308900523560209,0.5393939393939394,0.09149611296208149
AGE_GROUP,Specificity,0.9150602409638554,0.8657243816254417,0.04933585933841367
