Feature,LIME_Weight
NUM_DELAYED_PAYMENTS <= 0.00,-0.12433697725865073
-1.00 < PAY_0 <= 0.00,-0.09434247924661555
LIMIT_BAL <= 50000.00,0.03522797358814054
31548.00 < MAX_BILL_AMT <= 79785.00,-0.018590148337815002
1116.67 < AVG_PAY_AMT <= 2402.58,-0.014701553006358652
MARRIAGE <= 1.00,0.01295386163889394
22587.00 < BILL_AMT1 <= 67724.00,-0.012300843981659284
4904.54 < AVG_BILL_AMT <= 21352.75,-0.009888489235159694
1000.00 < PAY_AMT1 <= 2100.00,0.009065523967741684
EDUCATION > 2.00,-0.008491479495855584
