Threshold,Attribute,Metric,Absolute_Difference
0.2,SEX,Predicted_Default_Rate,0.04536740001583611
0.2,SEX,TPR,0.02036992754212008
0.2,SEX,FPR,0.04529535805640586
0.2,SEX,Precision,0.002428741115171662
0.2,AGE_GROUP,Predicted_Default_Rate,0.09407697718822233
0.2,AGE_GROUP,TPR,0.08857457174288852
0.2,AGE_GROUP,FPR,0.07116280839560665
0.2,AGE_GROUP,Precision,0.09946581196581195
0.25,SEX,Predicted_Default_Rate,0.05534742684351254
0.25,SEX,TPR,0.00703219860098947
0.25,SEX,FPR,0.0536348244993117
0.25,SEX,Precision,0.02284717074376086
0.25,AGE_GROUP,Predicted_Default_Rate,0.08358305697919807
0.25,AGE_GROUP,TPR,0.0851380376132852
0.25,AGE_GROUP,FPR,0.057266911403420245
0.25,AGE_GROUP,Precision,0.07484620642515383
0.3,SEX,Predicted_Default_Rate,0.04365471103087898
0.3,SEX,TPR,0.008650370415083208
0.3,SEX,FPR,0.03999842179855587
0.3,SEX,Precision,0.022237654041729282
0.3,AGE_GROUP,Predicted_Default_Rate,0.09535122098281582
0.3,AGE_GROUP,TPR,0.13259992665933262
0.3,AGE_GROUP,FPR,0.059956920155047735
0.3,AGE_GROUP,Precision,0.10354662698412698
0.35,SEX,Predicted_Default_Rate,0.0371401209634912
0.35,SEX,TPR,0.00019501640227237438
0.35,SEX,FPR,0.02948209210133615
0.35,SEX,Precision,0.018095181837871954
0.35,AGE_GROUP,Predicted_Default_Rate,0.0905431614913074
0.35,AGE_GROUP,TPR,0.15563413484205563
0.35,AGE_GROUP,FPR,0.05025651036712167
0.35,AGE_GROUP,Precision,0.13636363636363635
0.4,SEX,Predicted_Default_Rate,0.030810597822394786
0.4,SEX,TPR,0.006066403084973748
0.4,SEX,FPR,0.020627952291439128
0.4,SEX,Precision,0.007645176539034959
0.4,AGE_GROUP,Predicted_Default_Rate,0.07867952969550801
0.4,AGE_GROUP,TPR,0.1614961496149615
0.4,AGE_GROUP,FPR,0.04154077009961629
0.4,AGE_GROUP,Precision,0.1498104040763123
0.45,SEX,Predicted_Default_Rate,0.02876338279852117
0.45,SEX,TPR,0.009249349364919834
0.45,SEX,FPR,0.018722781884747547
0.45,SEX,Precision,0.010077204873333856
0.45,AGE_GROUP,Predicted_Default_Rate,0.07684805547181187
0.45,AGE_GROUP,TPR,0.1342972392477343
0.45,AGE_GROUP,FPR,0.04214018047553223
0.45,AGE_GROUP,Precision,0.14671846931528598
0.5,SEX,Predicted_Default_Rate,0.025197681931330332
0.5,SEX,TPR,0.0036333413042418106
0.5,SEX,FPR,0.017202200419082804
0.5,SEX,Precision,0.025914217361585834
0.5,AGE_GROUP,Predicted_Default_Rate,0.07698673500150738
0.5,AGE_GROUP,TPR,0.12430195400492428
0.5,AGE_GROUP,FPR,0.044606830239933566
0.5,AGE_GROUP,Precision,0.111233967271119
0.55,SEX,Predicted_Default_Rate,0.021153266806068133
0.55,SEX,TPR,0.005000777743985274
0.55,SEX,FPR,0.01217773829669875
0.55,SEX,Precision,0.013986088136743402
0.55,AGE_GROUP,Predicted_Default_Rate,0.07381871168726763
0.55,AGE_GROUP,TPR,0.12293991303892293
0.55,AGE_GROUP,FPR,0.041638887004743094
0.55,AGE_GROUP,Precision,0.11634426689094468
0.6,SEX,Predicted_Default_Rate,0.014961841073894186
0.6,SEX,TPR,0.00857607845231273
0.6,SEX,FPR,0.00915903739087362
0.6,SEX,Precision,0.014285714285714346
0.6,AGE_GROUP,Predicted_Default_Rate,0.06456537031454125
0.6,AGE_GROUP,TPR,0.11628686678191624
0.6,AGE_GROUP,FPR,0.03260188035913106
0.6,AGE_GROUP,Precision,0.10256410256410264
0.65,SEX,Predicted_Default_Rate,0.009672089518043561
0.65,SEX,TPR,0.018166706521209164
0.65,SEX,FPR,0.006626297523786306
0.65,SEX,Precision,0.01786912903869531
0.65,AGE_GROUP,Predicted_Default_Rate,0.048372022912270135
0.65,AGE_GROUP,TPR,0.09307978416889306
0.65,AGE_GROUP,FPR,0.021112786729105486
0.65,AGE_GROUP,Precision,0.0984126984126984
0.7,SEX,Predicted_Default_Rate,0.010632446308336492
0.7,SEX,TPR,0.007895842668195846
0.7,SEX,FPR,0.007678692249155818
0.7,SEX,Precision,0.05243417023882424
0.7,AGE_GROUP,Predicted_Default_Rate,0.029686153642208522
0.7,AGE_GROUP,TPR,0.05788150243595788
0.7,AGE_GROUP,FPR,0.0069053484189994675
0.7,AGE_GROUP,Precision,0.07204968944099388
