Threshold,Attribute,Group,Predicted_Default_Rate,TPR,FPR,Precision
0.2,SEX,2,0.3294181917508877,0.6723910171730515,0.2400137741046832,0.42205638474295193
0.2,SEX,1,0.3747855917667238,0.6520210896309314,0.28530913216108905,0.4244851258581236
0.2,AGE_GROUP,36-50,0.3412844036697248,0.6521739130434783,0.24731182795698925,0.4435483870967742
0.2,AGE_GROUP,26-35,0.32398753894080995,0.6415841584158416,0.24624333494910325,0.3894230769230769
0.2,AGE_GROUP,18-25,0.4180645161290323,0.7301587301587301,0.3174061433447099,0.42592592592592593
0.2,AGE_GROUP,51+,0.3829787234042553,0.6984126984126984,0.26744186046511625,0.4888888888888889
0.25,SEX,2,0.24911226440863152,0.6010568031704095,0.15736914600550964,0.49890350877192985
0.25,SEX,1,0.30445969125214406,0.5940246045694201,0.21100397050482134,0.476056338028169
0.25,AGE_GROUP,36-50,0.26926605504587153,0.5810276679841897,0.17502986857825567,0.5008517887563884
0.25,AGE_GROUP,26-35,0.2441588785046729,0.5762376237623762,0.1628696073679108,0.46411483253588515
0.25,AGE_GROUP,18-25,0.327741935483871,0.6613756613756614,0.22013651877133106,0.4921259842519685
0.25,AGE_GROUP,51+,0.3276595744680851,0.6587301587301587,0.2063953488372093,0.538961038961039
0.3,SEX,2,0.20677410543567332,0.5376486129458389,0.12052341597796143,0.5376486129458389
0.3,SEX,1,0.2504288164665523,0.5289982425307557,0.1605218377765173,0.5154109589041096
0.3,AGE_GROUP,36-50,0.22155963302752293,0.5158102766798419,0.13261648745519714,0.5403726708074534
0.3,AGE_GROUP,26-35,0.19626168224299065,0.497029702970297,0.12263693650024236,0.498015873015873
0.3,AGE_GROUP,18-25,0.29161290322580646,0.6296296296296297,0.1825938566552901,0.5265486725663717
0.3,AGE_GROUP,51+,0.2723404255319149,0.6111111111111112,0.14825581395348839,0.6015625
0.35,SEX,2,0.17126468178093418,0.48877146631439894,0.08849862258953169,0.5901116427432217
0.35,SEX,1,0.20840480274442538,0.48857644991212656,0.11798071469086784,0.5720164609053497
0.35,AGE_GROUP,36-50,0.1848623853211009,0.4743083003952569,0.09737156511350059,0.5955334987593052
0.35,AGE_GROUP,26-35,0.15848909657320873,0.4396039603960396,0.0896752302472128,0.5454545454545454
0.35,AGE_GROUP,18-25,0.24903225806451612,0.5873015873015873,0.13993174061433447,0.5751295336787565
0.35,AGE_GROUP,51+,0.23404255319148937,0.5952380952380952,0.10174418604651163,0.6818181818181818
0.4,SEX,2,0.14586178639715924,0.4385733157199472,0.06955922865013774,0.6217228464419475
0.4,SEX,1,0.17667238421955403,0.4446397188049209,0.09018718094157686,0.6140776699029126
0.4,AGE_GROUP,36-50,0.1536697247706422,0.4268774703557312,0.07108721624850657,0.6447761194029851
0.4,AGE_GROUP,26-35,0.13551401869158877,0.3940594059405941,0.07222491517207949,0.5718390804597702
0.4,AGE_GROUP,18-25,0.21419354838709678,0.5291005291005291,0.11262798634812286,0.6024096385542169
0.4,AGE_GROUP,51+,0.20638297872340425,0.5555555555555556,0.07848837209302326,0.7216494845360825
0.45,SEX,2,0.1264681780934171,0.38969616908850724,0.05785123966942149,0.6371490280777538
0.45,SEX,1,0.15523156089193826,0.3989455184534271,0.07657402155416904,0.6270718232044199
0.45,AGE_GROUP,36-50,0.13394495412844037,0.383399209486166,0.05854241338112306,0.6643835616438356
0.45,AGE_GROUP,26-35,0.11799065420560748,0.35247524752475246,0.0605913717886573,0.5874587458745875
0.45,AGE_GROUP,18-25,0.19483870967741934,0.48677248677248675,0.10068259385665529,0.609271523178808
0.45,AGE_GROUP,51+,0.16808510638297872,0.4603174603174603,0.061046511627906974,0.7341772151898734
0.5,SEX,2,0.10516252390057361,0.34610303830911493,0.042355371900826444,0.6805194805194805
0.5,SEX,1,0.13036020583190394,0.34973637961335674,0.05955757231990925,0.6546052631578947
0.5,AGE_GROUP,36-50,0.11238532110091744,0.3339920948616601,0.04540023894862605,0.689795918367347
0.5,AGE_GROUP,26-35,0.09462616822429906,0.31485148514851485,0.0407174018419777,0.654320987654321
0.5,AGE_GROUP,18-25,0.17161290322580644,0.43915343915343913,0.08532423208191127,0.6240601503759399
0.5,AGE_GROUP,51+,0.14468085106382977,0.3968253968253968,0.05232558139534884,0.7352941176470589
0.55,SEX,2,0.0950559956296094,0.3236459709379128,0.03546831955922865,0.7040229885057471
0.55,SEX,1,0.11620926243567753,0.3286467486818981,0.0476460578559274,0.6900369003690037
0.55,AGE_GROUP,36-50,0.10091743119266056,0.31620553359683795,0.035842293906810034,0.7272727272727273
0.55,AGE_GROUP,26-35,0.08489096573208722,0.29504950495049503,0.033446437227338824,0.6834862385321101
0.55,AGE_GROUP,18-25,0.15870967741935485,0.41798941798941797,0.07508532423208192,0.6422764227642277
0.55,AGE_GROUP,51+,0.12340425531914893,0.3492063492063492,0.040697674418604654,0.7586206896551724
0.6,SEX,2,0.08795411089866156,0.3038309114927345,0.03168044077134986,0.7142857142857143
0.6,SEX,1,0.10291595197255575,0.29525483304042177,0.04083947816222348,0.7
0.6,AGE_GROUP,36-50,0.09036697247706423,0.2865612648221344,0.03106332138590203,0.7360406091370558
0.6,AGE_GROUP,26-35,0.07866043613707165,0.27524752475247527,0.030538051381483276,0.6881188118811881
0.6,AGE_GROUP,18-25,0.1432258064516129,0.3915343915343915,0.06313993174061433,0.6666666666666666
0.6,AGE_GROUP,51+,0.11063829787234042,0.31746031746031744,0.03488372093023256,0.7692307692307693
0.65,SEX,2,0.07566238732586725,0.26948480845442535,0.025137741046831957,0.7364620938628159
0.65,SEX,1,0.08533447684391081,0.2513181019332162,0.03176403857061826,0.7185929648241206
0.65,AGE_GROUP,36-50,0.0779816513761468,0.24703557312252963,0.026881720430107527,0.7352941176470589
0.65,AGE_GROUP,26-35,0.06775700934579439,0.24554455445544554,0.024236548715462918,0.7126436781609196
0.65,AGE_GROUP,18-25,0.11612903225806452,0.3386243386243386,0.04436860068259386,0.7111111111111111
0.65,AGE_GROUP,51+,0.08936170212765958,0.2698412698412698,0.023255813953488372,0.8095238095238095
0.7,SEX,2,0.050259491942092324,0.19418758256274768,0.012741046831955923,0.7989130434782609
0.7,SEX,1,0.060891938250428816,0.18629173989455183,0.02041973908111174,0.7464788732394366
0.7,AGE_GROUP,36-50,0.05688073394495413,0.191699604743083,0.016129032258064516,0.782258064516129
0.7,AGE_GROUP,26-35,0.04478193146417445,0.17227722772277226,0.013572467280659235,0.7565217391304347
0.7,AGE_GROUP,18-25,0.06709677419354838,0.21164021164021163,0.020477815699658702,0.7692307692307693
0.7,AGE_GROUP,51+,0.07446808510638298,0.23015873015873015,0.01744186046511628,0.8285714285714286
